sample_ID,weight_g,length_cm,ab_fat,other_fat,total_fat,X100xfat_weight,Trigly,Total_Chol,HDL_Chol,UC,FFA,Glucose,LDL_plus_VLDL,MCP_1_phys,Insulin_ug_l,Glucose_Insulin,Leptin_pg_ml,Adiponectin,Aortic.lesions,Aneurysm,Aortic_cal_M,Aortic_cal_L,CoronaryArtery_Cal,Myocardial_cal,BMD_all_limbs,BMD_femurs_only
F2_280,50.7,10.4,1.17,2.74,3.91,7.712031558,104,1509,44,674,185,601,1465,164.584,7065,0.085067233,61331.2,5.666,208250,8,5,0,0,1,0.0599,0.0819
F2_281,41.8,10.5,1.54,2.18,3.72,8.899521531,110,1290,33,583,188,562,1257,77.95,2397,0.234459741,60631.36,7.497,135000,71,7,0,0,0,0.0614,0.08595
F2_282,52.3,10.5,NA,2.86,NA,NA,149,1575,35,697,201,639,1540,NA,13852,0.046130523,219146.4,5.993,99250,2,2,0,0,0,0.0504,0.07555
F2_283,46.4,10.6,2.12,2.18,4.3,9.267241379,80,1017,60,328,82,378,957,NA,1864,0.2027897,74333.98,8.103,NA,NA,NA,NA,0,0,0.0537,0.0806
F2_284,53.8,10.5,1.19,2.47,3.66,6.802973978,54,1160,41,463,93,457,1119,337.988,18663,0.024486953,183042.18,8.44,343500,57,0,0,0,0,0.0605,0.08795
F2_285,43.9,10.3,0.76,1.87,2.63,5.990888383,14,1431,25,612,120,528,1406,260.088,2273,0.232292125,58219.54,NA,204500,0,0,0,7,5,0.0609,0.0879
F2_286,49,10.5,2.03,2.45,4.48,9.142857143,126,1166,48,456,127,515,1118,187.532,6701,0.076854201,86234.3,5.978,72500,44,0,0,0,1,NA,NA
F2_287,43.9,10.2,2.85,2.35,5.2,11.84510251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179500,27,0,13,0,0,NA,NA
F2_231,47.4,10.3,0.94,2.26,3.2,6.751054852,120,957,44,311,68,242,913,98.936,4489,0.053909557,48414.96,2.219,95500,0,0,0,0,0,0.0543,0.07845
F2_232,45.7,10.3,1.92,2.19,4.11,8.993435449,97,1550,75,547,124,532,1475,65.816,7560,0.07037037,74982.22,2.672,200313,12,0,3,2,8,NA,NA
F2_233,50.4,10.6,1.17,2.57,3.74,7.420634921,142,1576,42,553,103,387,1534,130.426,8101,0.04777188,118817.56,2.494,237250,68,6,0,0,10,0.0566,0.08305
F2_234,47.8,10.2,1.53,2.18,3.71,7.761506276,60,1172,42,416,83,336,1130,146.35,6165,0.054501217,119135.34,5.564,225500,0,0,0,0,0,NA,NA
F2_235,47.9,10.5,2.16,3.15,5.31,11.08559499,88,944,27,384,108,406,917,107.162,2098,0.193517636,64015.66,5.045,314500,27,16,0,0,0,0.0525,0.0722
F2_236,52.2,10.6,1.73,2.07,3.8,7.279693487,109,1620,54,474,81,365,1566,147.466,4301,0.084863985,64819.4,2.733,238250,59,5,0,NA,14,0.0578,0.0838
F2_237,47.6,10.7,1.43,2.84,4.27,8.970588235,143,1391,42,565,153,432,1349,172.002,9725,0.044421594,98144.3,1.07,199750,6,3,0,0,0,0.0542,0.07305
F2_238,50.4,10.6,2.35,NA,NA,NA,127,1044,38,433,137,514,1006,153.908,5387,0.095414888,81968.48,3.212,168500,88,24,0,0,0,0.0573,0.07685
F2_239,54.2,10.7,1.72,2.51,4.23,7.804428044,183,1385,40,593,151,484,1345,115.684,3087,0.156786524,140524.12,3.814,144000,10,9,0,0,0,0.0547,0.078
F2_240,47.1,10.3,2.47,2.87,5.34,11.33757962,73,1357,42,472,99,450,1315,105.422,3195,0.14084507,116393.36,3.686,248750,32,0,0,0,0,NA,NA
F2_241,36.7,9.8,2.48,2.49,4.97,13.54223433,58,864,39,310,86,318,825,91.794,429,0.741258741,78226.18,1.913,238500,15,1,0,4,11,0.0578,0.08215
F2_242,38.9,9.9,2.91,1.79,4.7,12.08226221,73,808,29,304,91,413,779,113.194,869,0.475258918,60695.08,5.264,272750,1,0,0,0,0,0.0563,0.0818
F2_243,43.9,10.2,4.26,2.97,7.23,16.46924829,82,817,23,356,97,439,794,145.356,1075,0.408372093,114589.3,1.604,3230750,60,11,0,2,0,0.0529,0.0778
F2_244,32.8,9.9,1.33,1.95,3.28,10,34,794,19,304,86,313,775,86.896,486,0.644032922,58257.08,6.44,318000,0,0,0,0,0,0.0513,0.069
F2_245,42.7,10.4,2.35,2.43,4.78,11.19437939,168,1104,33,521,149,537,1071,92.322,2708,0.198301329,101521.2,6.81,116750,0,0,2,1,6,0.0567,0.08145
F2_246,47.4,10.4,3.58,3.28,6.86,14.47257384,84,1223,17,518,129,525,1206,182.59,2229,0.235531629,178556.08,5.065,256500,0,0,6,0,0,0.0541,0.0756
F2_247,40.9,10.3,2.93,2.26,5.19,12.68948655,70,1312,27,499,120,483,1285,123.872,615,0.785365854,100521.46,5.493,258750,0,0,0,0,0,0.0563,0.07925
F2_248,30.7,9.8,1.46,1.45,2.91,9.478827362,41,1044,25,381,83,458,1019,172.614,422,1.085308057,138369.52,11.313,184250,0,0,0,2,3,0.0516,0.07045
F2_249,48.4,10.6,0.71,1.5,2.21,4.566115702,230,1345,44,608,158,529,1301,108.386,9539,0.055456547,69416.42,1.593,113250,0,0,0,0,0,0.0572,0.0818
F2_250,45.4,10.2,1.16,2.2,3.36,7.400881057,50,1299,57,440,102,415,1242,97.044,3039,0.136558078,54889.66,1.55,340250,25,0,4,0,0,0.0565,0.08355
F2_251,40.9,10.4,1.05,1.57,2.62,6.405867971,46,1151,50,408,96,375,1101,85.164,1439,0.260597637,79146.38,4.233,139000,18,1,0,0,0,0.0549,0.07575
F2_252,46.8,10.5,1.57,1.65,3.22,6.88034188,161,1405,41,527,122,390,1364,218.648,3568,0.109304933,136032.8,3.551,89500,0,0,0,0,0,0.0556,0.07955
F2_253,53,10.8,1.5,2.27,3.77,7.113207547,74,1262,49,512,142,472,1213,143.552,5555,0.084968497,141321.52,2.812,198000,4,0,0,0,0,0.0571,0.08225
F2_254,50.4,10.7,0.99,2.4,3.39,6.726190476,98,1687,42,707,164,551,1645,180.634,9389,0.058685696,107469.18,4.733,101500,0,0,3,2,10,0.0601,0.08845
F2_255,57.3,10.8,1.21,2.05,3.26,5.689354276,113,1409,37,541,140,503,1372,200.764,5766,0.087235519,111905.96,1.392,239250,0,0,0,0,0,0.0616,0.08865
F2_256,51.2,11,1.63,2.7,4.33,8.45703125,95,927,58,374,115,387,869,158.414,821,0.47137637,76717.42,1.704,82500,0,0,3,0,0,0.0539,0.0778
F2_257,34.3,9.6,0.58,1.15,1.73,5.043731778,23,911,27,361,87,306,884,70.738,534,0.573033708,9945.14,2.747,281750,0,0,0,1,19,0.0559,0.0772
F2_258,44.8,10.6,2,2.15,4.15,9.263392857,99,848,68,262,71,347,780,64.698,563,0.61634103,34488.46,3.883,79500,0,0,0,0,1,0.0633,0.08955
F2_40,45.4,10.2,1.09,2.11,3.2,7.04845815,253,1466,66,486,119,452,1400,163.138,14472,0.031232725,72140,3.784,34500,5,0,0,0,1,NA,NA
F2_41,52,10.4,1.58,2.21,3.79,7.288461538,72,2141,49,797,150,675,2092,179.804,29699,0.022728038,83160,7.319,277250,10,0,23,0,0,NA,NA
F2_42,39.4,10.2,2.99,2.8,5.79,14.69543147,233,1729,23,622,127,487,1706,111.21,1364,0.357038123,99220,14.531,110000,42,14,0,0,0,NA,NA
F2_43,35.3,10.7,1.32,1.56,2.88,8.158640227,77,1258,22,430,86,412,1236,92.86,1340,0.307462687,50500,9.735,327250,0,0,0,0,0,NA,NA
F2_44,31.4,10,0.97,1.8,2.77,8.821656051,126,1228,28,439,101,435,1200,58.116,1711,0.254237288,50300,15.358,145500,0,0,0,0,1,NA,NA
F2_45,45.8,10.4,4.13,2.9,7.03,15.34934498,81,1140,36,445,112,501,1104,82.198,2183,0.229500687,1160,7.939,48250,18,1,0,0,1,NA,NA
F2_46,26.1,9.7,0.94,0.82,1.76,6.743295019,59,380,17,208,75,281,363,85.366,396,0.70959596,8540,12.404,322000,25,1,10,0,0,NA,NA
F2_47,23.9,9.2,0.67,0.9,1.57,6.569037657,87,978,32,461,129,544,946,78.006,844,0.644549763,37420,22.776,328250,42,3,0,0,0,NA,NA
F2_48,27.5,9.6,0.77,0.95,1.72,6.254545455,64,834,20,297,71,385,814,68.992,629,0.612082671,13880,14.31,292500,56,10,0,0,0,NA,NA
F2_49,27.3,9.7,0.45,0.3,0.75,2.747252747,33,980,34,390,100,402,946,46.51,540,0.744444444,3420,7.111,213000,0,0,0,0,1,NA,NA
F2_50,34.5,10,0.59,1.18,1.77,5.130434783,122,1577,37,688,185,741,1540,97.67,710,1.043661972,19560,7.858,348500,27,6,0,0,1,NA,NA
F2_51,37.9,10.5,1.87,3.56,5.43,14.32717678,101,1216,27,503,121,511,1189,100.8,819,0.623931624,78360,14.014,373250,34,2,5,0,1,NA,NA
F2_52,38.5,10.8,1.78,3.09,4.87,12.64935065,132,1888,33,646,119,635,1855,112.776,2692,0.235884101,37040,10.14,249000,0,0,0,0,0,NA,NA
F2_53,36.4,10.5,1.83,3.56,5.39,14.80769231,160,1539,30,656,174,681,1509,105.966,1298,0.524653313,52980,8.12,180750,25,2,5,0,0,NA,NA
F2_54,46.4,10.5,2.84,5.9,8.74,18.8362069,115,1296,31,484,127,488,1265,238.292,3544,0.137697517,162820,9.115,90500,24,6,0,0,0,NA,NA
F2_55,54.3,11.3,0.33,2.25,2.58,4.751381215,131,2106,36,805,176,562,2070,237.592,21101,0.026633809,56840,4.521,233000,23,2,0,0,1,NA,NA
F2_56,52,11.1,0.19,2.1,2.29,4.403846154,170,1387,45,585,169,610,1342,247.492,15027,0.040593598,55920,2.958,30750,10,0,10,0,0,NA,NA
F2_57,49,10.8,0.9,2.15,3.05,6.224489796,192,1452,70,550,141,531,1382,411.224,15163,0.035019455,59260,4.05,9000,8,2,0,0,1,NA,NA
F2_58,44.1,11,1.6,2.57,4.17,9.455782313,275,938,49,302,93,371,889,96.908,1060,0.35,29140,6.514,33000,0,0,0,0,0,NA,NA
F2_59,45.1,10.9,0.43,1.68,2.11,4.678492239,201,1338,31,529,134,551,1307,175.888,29699,0.018552813,47220,4.054,43000,0,0,0,0,3,NA,NA
F2_84,47.2,10.7,1.28,2.29,3.57,7.563559322,181,1749,53,548,108,346,1696,297.128,13153,0.026305786,61280,0.803,145250,143,30,0,NA,NA,NA,NA
F2_85,39.3,10.5,1.16,1.58,2.74,6.972010178,120,1403,49,517,158,571,1354,113.128,11893,0.048011435,NA,NA,50250,0,0,0,NA,NA,NA,NA
F2_86,34.8,10,2.01,1.9,3.91,11.23563218,88,998,60,331,88,334,938,125.6,2457,0.135938136,35500,3.765,186750,0,0,4,NA,NA,NA,NA
F2_87,32.5,10.5,1.51,1.57,3.08,9.476923077,36,753,53,232,68,265,700,92.962,766,0.345953003,16140,2.914,167250,0,0,1,NA,NA,NA,NA
F2_88,46,10.8,4.11,2.87,6.98,15.17391304,55,1016,46,368,99,400,970,143.192,2852,0.140252454,87360,5.302,247250,12,7,0,NA,NA,NA,NA
F2_89,28.3,9.5,1.09,1.06,2.15,7.597173145,56,1162,26,468,137,410,1136,83.746,NA,NA,17720,8.644,299500,69,10,0,NA,NA,NA,NA
F2_91,43.9,10.5,1.08,1.73,2.81,6.400911162,89,1180,62,445,128,403,1118,121.474,NA,NA,51460,1.237,244750,0,0,1,NA,NA,NA,NA
F2_92,54,11.5,1.26,2.56,3.82,7.074074074,118,1465,39,510,100,373,1426,132.748,7858,0.047467549,32560,4.449,165750,0,0,0,NA,NA,NA,NA
F2_93,43.6,10,1.86,1.47,3.33,7.637614679,24,973,52,340,86,360,921,210.426,1845,0.195121951,NA,NA,196500,0,0,0,NA,NA,NA,NA
F2_94,46.1,11,1.16,2.33,3.49,7.570498915,106,1419,65,534,172,509,1354,95.868,8840,0.057579186,59800,NA,409000,56,35,0,NA,NA,NA,NA
F2_95,40.1,10.5,1.7,1.67,3.37,8.403990025,34,1325,77,407,86,339,1248,69.018,821,0.412911084,23500,7.087,61750,0,0,3,0,0,NA,NA
F1_96,51.1,11.5,1.29,2.33,3.62,7.084148728,37,1166,61,400,111,391,1105,125.742,674,0.580118694,36860,7.268,116250,23,6,0,0,0,NA,NA
F1_97,52.8,11,1.34,2.35,3.69,6.988636364,33,1422,55,502,129,465,1367,157.182,1029,0.451895044,48220,11.005,76250,9,5,0,0,0,NA,NA
F1_98,48.1,10.5,1.68,1.93,3.61,7.505197505,25,1202,43,424,101,411,1159,97.186,287,1.432055749,NA,NA,110750,20,0,0,0,0,NA,NA
F1_99,50.1,11,1.36,2.33,3.69,7.365269461,61,940,60,318,87,322,880,165.538,532,0.605263158,33560,8.113,127500,12,5,0,0,0,NA,NA
F1_100,38.3,10.5,2.83,2.01,4.84,12.63707572,57,1131,33,390,91,357,1098,120.444,870,0.410344828,79180,12.201,192250,0,0,0,0,0,NA,NA
F1_101,40,11,2.74,1.95,4.69,11.725,41,1442,28,506,105,413,1414,NA,NA,NA,NA,NA,212250,9,2,0,0,0,NA,NA
F1_102,42.8,10.3,4.5,3.37,7.87,18.38785047,72,1285,35,469,116,463,1250,126.652,NA,NA,NA,NA,160250,0,0,0,0,0,NA,NA
F1_103,45.2,10.5,4.01,2.74,6.75,14.93362832,46,1218,31,422,105,413,1187,111.616,558,0.740143369,131420,17.084,206500,27,9,0,0,0,NA,NA
F2_104,57.1,10.8,0.9,2.52,3.42,5.989492119,170,1013,60,333,91,310,953,210.122,1926,0.160955348,70360,7.307,106250,0,0,0,0,0,0.0593,0.08175
F2_105,40.9,10.6,1.84,1.51,3.35,8.190709046,128,2079,175,697,138,537,1904,145.944,556,0.965827338,23640,7.557,133750,34,13,0,15,15,0.0589,0.08215
F2_107,43.6,10.3,3.47,2.58,6.05,13.87614679,76,1306,37,380,82,308,1269,110.384,627,0.49122807,59040,9.962,171625,32,4,2,0,0,0.0605,0.08685
F2_108,40.6,10.7,3.96,2.45,6.41,15.78817734,25,850,21,289,64,337,829,184.16,517,0.651837524,85320,17.756,329000,0,0,0,0,0,0.0518,0.06755
F2_109,43.6,10.3,2.96,3.19,6.15,14.10550459,50,812,62,263,67,290,750,89.994,954,0.303983229,85400,8.795,151750,0,0,7,0,0,0.0587,0.08275
F2_110,37.1,10.3,2.57,2.07,4.64,12.50673854,96,1617,46,558,102,435,1571,113.762,414,1.050724638,54560,15.256,385500,40,14,0,0,0,0.0526,0.07265
F2_111,33.8,10,1.28,1.53,2.81,8.313609467,36,1392,38,491,87,364,1354,102.542,1027,0.35443038,44512.9,9.229,279250,38,8,0,2,0,0.0583,0.07975
F2_112,26.8,10.5,0.41,0.58,0.99,3.694029851,709,1296,24,420,79,361,1272,222.52,610,0.591803279,6317.96,8.564,18000,0,0,0,NA,NA,0.06,0.0832
F2_113,44.4,10.3,1.56,2.55,4.11,9.256756757,110,1002,58,373,87,369,944,110.244,2705,0.136414048,85185.28,7.127,253250,37,3,0,0,0,0.0596,0.0808
F2_114,43.9,10.8,0.94,1.65,2.59,5.89977221,261,1352,81,436,107,404,1271,125.386,1781,0.226838855,42173.54,7.179,155500,0,0,5,0,0,0.0615,0.0904
F2_115,57.8,11,1.76,4.06,5.82,10.06920415,201,1741,68,539,106,410,1673,238.058,2205,0.185941043,85167.3,5.668,132250,103,2,0,0,0,0.0587,0.0827
F2_116,54.7,11.2,2.82,3.59,6.41,11.71846435,77,1404,66,444,90,395,1338,111.438,1533,0.25766471,98649.6,8.45,241750,52,6,6,0,19,0.0579,0.07445
F2_117,38,10.2,NA,2.55,NA,NA,64,1236,38,471,127,409,1198,169.444,468,0.873931624,79249.46,15.794,475000,63,4,0,0,0,0.0545,0.0765
F2_118,44.7,10.5,4.18,3.83,8.01,17.91946309,97,1228,33,463,107,444,1195,176.78,847,0.52420307,140137.56,9.126,186500,20,1,5,0,0,0.0595,0.08625
F2_119,40.3,10.2,2.85,3.35,6.2,15.38461538,96,1113,38,387,87,406,1075,93.722,583,0.696397942,54318.48,9.438,485500,18,2,15,0,0,0.054,0.07345
F2_120,50.8,11,2.38,2.33,4.71,9.271653543,113,1337,51,478,120,403,1286,170.774,3132,0.128671775,64560.68,6.619,283250,3,0,0,0,3,0.0592,0.08775
F2_121,46.5,10.2,1.7,3.33,5.03,10.8172043,75,1392,35,563,130,539,1357,159.066,2857,0.188659433,136762.22,9.364,88250,12,2,0,0,42,0.0542,0.07325
F2_122,51.6,11,1.23,2.6,3.83,7.42248062,85,929,68,376,110,405,861,250.782,3368,0.120249406,70998.48,5.297,131250,0,0,3,0,0,0.06,0.08535
F2_123,41.9,9.9,2.14,2.69,4.83,11.5274463,71,962,24,412,115,384,938,328.82,1167,0.329048843,93467.48,7.019,437750,52,15,11,0,0,0.0533,0.07225
F2_124,52.1,10.1,3.14,3.07,6.21,11.9193858,100,1403,46,512,119,450,1357,151.322,972,0.462962963,127313.14,9.82,303750,102,7,0,0,0,0.0589,0.08085
F2_125,44.1,10.4,3.5,2.67,6.17,13.99092971,157,1656,33,580,126,590,1623,154.896,1233,0.478507705,104954.62,8.893,217500,60,2,0,0,0,0.0591,0.086
F2_126,43.1,10.4,3.47,3.92,7.39,17.14617169,124,1263,37,484,126,440,1226,149.144,NA,NA,NA,NA,137750,34,7,0,0,0,0.0575,0.0822
F2_127,33.4,9.9,1.98,2.17,4.15,12.4251497,84,1609,28,644,139,498,1581,173.292,457,1.089715536,111464.32,11.32,201750,13,0,7,0,0,0.0523,0.07635
F2_128,35.6,9.6,2.1,3.75,5.85,16.43258427,65,1230,45,442,94,357,1185,206.924,314,1.136942675,69600.92,NA,319500,0,0,NA,0,0,0.0511,0.07295
B6_129,25.6,8.7,0.7,0.76,1.46,5.703125,10,982,22,444,101,360,960,110.396,NA,NA,NA,NA,420750,NA,0,10,0,0,0.0505,0.0679
B6_130,26.8,9.6,0.25,0.43,0.68,2.537313433,3,1040,20,464,98,332,1020,225.17,NA,NA,NA,NA,583500,NA,0,14,0,0,0.0502,0.0655
B6_131,35.8,9.6,2,2.23,4.23,11.81564246,15,1084,25,443,84,404,1059,144.926,444,0.90990991,90460.16,17.184,512500,NA,0,0,0,0,0.0514,0.067
B6_132,34.5,9.9,1.3,1.85,3.15,9.130434783,21,1094,27,470,90,390,1067,163.846,NA,NA,NA,NA,528000,NA,0,0,0,0,0.0521,0.0684
B6_133,24,9.5,0.3,0.7,1,4.166666667,13,995,17,444,88,333,978,NA,NA,NA,NA,NA,530500,NA,0,7,0,0,0.0507,0.0671
B6_134,41.6,10,1.49,2.13,3.62,8.701923077,36,1152,30,492,119,447,1122,103.286,NA,NA,NA,NA,423750,NA,0,4,0,0,0.0542,0.07465
